#,Entry_ET,Direction,Score,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason,Entry_UTC,Exit_UTC
1,2025-11-10 09:47,SHORT,4,16.98,25641.00,25627.41,25661.38,25627.66,13.34,25.43,TP,2025-11-10 14:47,2025-11-10 14:47
2,2025-11-10 10:51,LONG,4,16.00,25578.50,25591.30,25559.30,25559.05,-19.45,-40.14,SL,2025-11-10 15:51,2025-11-10 15:51
3,2025-11-10 10:55,LONG,4,16.98,25557.25,25570.84,25536.87,25536.62,-20.63,-42.50,SL,2025-11-10 15:55,2025-11-10 15:55
4,2025-11-10 10:59,LONG,4,17.88,25538.75,25553.05,25517.30,25517.05,-21.70,-44.64,SL,2025-11-10 15:59,2025-11-10 15:59
5,2025-11-10 11:06,LONG,4,20.57,25490.00,25506.46,25465.31,25506.21,16.21,31.17,TP,2025-11-10 16:06,2025-11-10 16:07
6,2025-11-10 13:00,SHORT,4,9.95,25635.50,25627.54,25647.44,25647.69,-12.19,-25.61,SL,2025-11-10 18:00,2025-11-10 18:01
7,2025-11-10 13:42,SHORT,4,9.05,25668.00,25660.76,25678.86,25661.01,6.99,12.75,TP,2025-11-10 18:42,2025-11-10 18:43
8,2025-11-10 13:49,SHORT,4,7.86,25677.25,25670.96,25686.68,25671.21,6.04,10.83,TP,2025-11-10 18:49,2025-11-10 18:52
9,2025-11-10 14:28,SHORT,4,7.36,25689.50,25683.61,25698.33,25683.86,5.64,10.03,TP,2025-11-10 19:28,2025-11-10 19:31
10,2025-11-10 14:48,SHORT,4,6.95,25702.50,25696.94,25710.84,25697.19,5.31,9.37,TP,2025-11-10 19:48,2025-11-10 19:48
11,2025-11-10 14:53,SHORT,4,7.12,25708.50,25702.80,25717.05,25717.30,-8.80,-18.84,SL,2025-11-10 19:53,2025-11-10 19:56
12,2025-11-10 15:38,SHORT,4,9.23,25730.00,25722.61,25741.08,25722.86,7.14,13.03,TP,2025-11-10 20:38,2025-11-10 20:40
13,2025-11-10 15:47,SHORT,4,9.66,25743.00,25735.27,25754.59,25754.84,-11.84,-24.93,SL,2025-11-10 20:47,2025-11-10 20:48
14,2025-11-10 15:52,SHORT,4,10.55,25737.25,25728.81,25749.91,25750.16,-12.91,-27.07,SL,2025-11-10 20:52,2025-11-10 20:53
15,2025-11-11 09:50,LONG,5,20.98,25582.75,25599.54,25557.57,25599.29,16.54,31.83,TP,2025-11-11 14:50,2025-11-11 14:56
16,2025-11-11 10:17,LONG,4,23.14,25563.25,25581.76,25535.48,25535.23,-28.02,-57.28,SL,2025-11-11 15:17,2025-11-11 15:20
17,2025-11-11 10:35,LONG,4,19.23,25516.50,25531.89,25493.42,25531.64,15.14,29.03,TP,2025-11-11 15:35,2025-11-11 15:41
18,2025-11-11 12:51,SHORT,4,10.07,25589.25,25581.19,25601.34,25601.59,-12.34,-25.91,SL,2025-11-11 17:51,2025-11-11 17:52
19,2025-11-11 12:56,SHORT,4,12.41,25621.25,25611.32,25636.14,25636.39,-15.14,-31.53,SL,2025-11-11 17:56,2025-11-11 18:01
20,2025-11-11 13:08,SHORT,4,11.86,25634.25,25624.76,25648.48,25625.01,9.24,17.23,TP,2025-11-11 18:08,2025-11-11 18:09
21,2025-11-11 13:24,SHORT,4,10.91,25655.75,25647.02,25668.84,25647.27,8.48,15.72,TP,2025-11-11 18:24,2025-11-11 18:24
22,2025-11-11 13:34,SHORT,4,13.77,25639.00,25627.99,25655.52,25628.24,10.76,20.29,TP,2025-11-11 18:34,2025-11-11 18:36
23,2025-11-11 13:52,SHORT,4,11.68,25670.00,25660.66,25684.01,25684.26,-14.26,-29.77,SL,2025-11-11 18:52,2025-11-11 18:57
24,2025-11-11 15:14,SHORT,4,7.41,25673.75,25667.82,25682.64,25668.07,5.68,10.12,TP,2025-11-11 20:14,2025-11-11 20:16
25,2025-11-11 15:54,SHORT,4,11.77,25684.50,25675.09,25698.62,25675.34,9.16,17.09,TP,2025-11-11 20:54,2025-11-11 20:54
26,2025-11-12 09:47,LONG,4,23.98,25597.00,25616.19,25568.22,25567.97,-29.03,-59.30,SL,2025-11-12 14:47,2025-11-12 14:50
27,2025-11-12 10:37,LONG,4,19.95,25536.75,25552.71,25512.81,25552.46,15.71,30.17,TP,2025-11-12 15:37,2025-11-12 15:37
28,2025-11-12 10:54,LONG,4,18.79,25544.25,25559.28,25521.71,25559.03,14.78,28.32,TP,2025-11-12 15:54,2025-11-12 15:55
29,2025-11-12 11:11,LONG,4,19.21,25510.25,25525.62,25487.19,25525.37,15.12,29.00,TP,2025-11-12 16:11,2025-11-12 16:15
30,2025-11-12 11:49,LONG,4,17.23,25497.25,25511.04,25476.57,25510.79,13.54,25.83,TP,2025-11-12 16:49,2025-11-12 16:49
31,2025-11-13 09:46,LONG,4,32.71,25297.50,25323.67,25258.24,25323.42,25.92,50.60,TP,2025-11-13 14:46,2025-11-13 14:47
32,2025-11-13 10:17,SHORT,4,27.89,25483.00,25460.69,25516.47,25460.94,22.06,42.89,TP,2025-11-13 15:17,2025-11-13 15:17
33,2025-11-13 10:39,LONG,4,23.30,25302.75,25321.39,25274.79,25321.14,18.39,35.55,TP,2025-11-13 15:39,2025-11-13 15:39
34,2025-11-13 10:44,LONG,4,24.50,25296.75,25316.35,25267.35,25267.10,-29.65,-60.54,SL,2025-11-13 15:44,2025-11-13 15:45
35,2025-11-13 10:49,LONG,4,24.04,25245.50,25264.73,25216.66,25216.41,-29.09,-59.43,SL,2025-11-13 15:49,2025-11-13 15:54
36,2025-11-13 10:58,LONG,4,20.52,25221.00,25237.41,25196.38,25237.16,16.16,31.09,TP,2025-11-13 15:58,2025-11-13 15:58
37,2025-11-13 11:20,LONG,4,22.59,25212.00,25230.07,25184.89,25229.82,17.82,34.40,TP,2025-11-13 16:20,2025-11-13 16:23
38,2025-11-13 11:41,LONG,4,25.23,25182.75,25202.94,25152.47,25202.69,19.94,38.63,TP,2025-11-13 16:41,2025-11-13 16:47
39,2025-11-13 12:59,LONG,4,22.75,25140.25,25158.45,25112.95,25158.20,17.95,34.66,TP,2025-11-13 17:59,2025-11-13 18:07
40,2025-11-13 13:27,LONG,4,20.59,25075.25,25091.72,25050.54,25050.29,-24.96,-51.15,SL,2025-11-13 18:27,2025-11-13 18:34
41,2025-11-13 13:38,LONG,4,18.82,25028.25,25043.31,25005.66,25043.06,14.81,28.37,TP,2025-11-13 18:38,2025-11-13 18:42
42,2025-11-13 14:56,LONG,4,22.07,25022.25,25039.91,24995.76,25039.66,17.41,33.57,TP,2025-11-13 19:56,2025-11-13 19:56
43,2025-11-14 10:28,SHORT,4,40.18,25012.25,24980.11,25060.46,24980.36,31.89,62.55,TP,2025-11-14 15:28,2025-11-14 15:31
44,2025-11-14 10:41,SHORT,4,30.11,25074.25,25050.16,25110.38,25110.63,-36.38,-74.00,SL,2025-11-14 15:41,2025-11-14 15:45
45,2025-11-14 10:49,SHORT,4,27.98,25150.00,25127.61,25183.58,25127.86,22.14,43.03,TP,2025-11-14 15:49,2025-11-14 15:53
46,2025-11-14 11:21,SHORT,4,23.88,25158.75,25139.65,25187.40,25187.65,-28.90,-59.04,SL,2025-11-14 16:21,2025-11-14 16:22
