#,Signal_ET,Direction,Close,EMA13,EMA34,Entry,Exit,PnL_Pts,PnL_USD,Reason,Signal_UTC,Entry_UTC,Exit_UTC
1,2025-11-10 10:42,SHORT,25623.25,25638.24,25639.47,25622.75,25612.75,9.75,18.26,TP,2025-11-10 15:42,2025-11-10 15:43,2025-11-10 15:45
2,2025-11-10 11:59,LONG,25521.25,25493.23,25492.76,25521.75,25529.75,7.75,14.26,EOD,2025-11-10 16:59,2025-11-10 17:00,2025-11-10 17:00
3,2025-11-11 10:00,LONG,25613.25,25605.25,25604.67,25614.00,25624.00,9.75,18.26,TP,2025-11-11 15:00,2025-11-11 15:01,2025-11-11 15:01
4,2025-11-11 10:05,SHORT,25584.75,25604.11,25604.77,25584.25,25574.25,9.75,18.26,TP,2025-11-11 15:05,2025-11-11 15:06,2025-11-11 15:06
5,2025-11-11 11:16,LONG,25529.50,25524.13,25524.07,25529.75,25539.75,9.75,18.26,TP,2025-11-11 16:16,2025-11-11 16:17,2025-11-11 16:18
6,2025-11-11 11:30,SHORT,25496.00,25535.13,25535.17,25495.75,25507.75,-12.25,-25.74,SL,2025-11-11 16:30,2025-11-11 16:31,2025-11-11 16:31
7,2025-11-12 11:29,LONG,25582.25,25551.61,25549.65,25582.25,25570.25,-12.25,-25.74,SL,2025-11-12 16:29,2025-11-12 16:30,2025-11-12 16:30
8,2025-11-12 11:46,SHORT,25536.75,25561.69,25562.34,25536.75,25526.75,9.75,18.26,TP,2025-11-12 16:46,2025-11-12 16:47,2025-11-12 16:47
9,2025-11-13 10:09,LONG,25439.75,25385.74,25384.34,25440.00,25428.00,-12.25,-25.74,SL,2025-11-13 15:09,2025-11-13 15:10,2025-11-13 15:10
10,2025-11-13 10:28,SHORT,25374.25,25407.01,25408.68,25374.50,25386.50,-12.25,-25.74,SL,2025-11-13 15:28,2025-11-13 15:29,2025-11-13 15:29
11,2025-11-17 10:08,SHORT,25084.00,25153.76,25157.18,25083.75,25073.75,9.75,18.26,TP,2025-11-17 15:08,2025-11-17 15:09,2025-11-17 15:09
12,2025-11-17 10:48,LONG,25140.25,25111.58,25110.17,25140.50,25128.50,-12.25,-25.74,SL,2025-11-17 15:48,2025-11-17 15:49,2025-11-17 15:49
13,2025-11-17 10:50,SHORT,25088.25,25107.81,25108.80,25088.50,25078.50,9.75,18.26,TP,2025-11-17 15:50,2025-11-17 15:51,2025-11-17 15:52
14,2025-11-17 11:31,LONG,25096.00,25032.22,25027.49,25096.00,25106.00,9.75,18.26,TP,2025-11-17 16:31,2025-11-17 16:32,2025-11-17 16:32
15,2025-11-18 10:30,LONG,24573.75,24555.29,24554.52,24573.50,24561.50,-12.25,-25.74,SL,2025-11-18 15:30,2025-11-18 15:31,2025-11-18 15:31
16,2025-11-18 10:32,LONG,24579.50,24554.77,24554.24,24579.50,24589.50,9.75,18.26,TP,2025-11-18 15:32,2025-11-18 15:33,2025-11-18 15:33
17,2025-11-18 11:12,LONG,24521.25,24483.00,24482.51,24521.00,24531.00,9.75,18.26,TP,2025-11-18 16:12,2025-11-18 16:13,2025-11-18 16:13
18,2025-11-19 10:45,SHORT,24892.25,24915.44,24916.77,24891.50,24881.50,9.75,18.26,TP,2025-11-19 15:45,2025-11-19 15:46,2025-11-19 15:47
19,2025-11-20 10:09,SHORT,25198.50,25235.65,25235.78,25197.75,25187.75,9.75,18.26,TP,2025-11-20 15:09,2025-11-20 15:10,2025-11-20 15:10
20,2025-11-20 10:25,LONG,25246.75,25225.14,25223.71,25246.50,25234.50,-12.25,-25.74,SL,2025-11-20 15:25,2025-11-20 15:26,2025-11-20 15:26
21,2025-11-20 10:52,SHORT,25213.50,25251.06,25254.70,25213.50,25203.50,9.75,18.26,TP,2025-11-20 15:52,2025-11-20 15:53,2025-11-20 15:53
22,2025-11-21 10:56,LONG,24087.50,24061.86,24060.27,24087.25,24075.25,-12.25,-25.74,SL,2025-11-21 15:56,2025-11-21 15:57,2025-11-21 15:57
23,2025-11-21 11:15,LONG,24066.50,24041.87,24040.23,24067.00,24055.00,-12.25,-25.74,SL,2025-11-21 16:15,2025-11-21 16:16,2025-11-21 16:16
24,2025-11-21 11:19,SHORT,24001.25,24036.03,24038.63,24000.75,24012.75,-12.25,-25.74,SL,2025-11-21 16:19,2025-11-21 16:20,2025-11-21 16:20
25,2025-11-21 11:21,LONG,24099.00,24048.51,24043.48,24099.75,24087.75,-12.25,-25.74,SL,2025-11-21 16:21,2025-11-21 16:22,2025-11-21 16:22
26,2025-11-24 11:58,SHORT,24840.00,24860.90,24861.09,24839.75,24851.75,-12.25,-25.74,SL,2025-11-24 16:58,2025-11-24 16:59,2025-11-24 17:00
27,2025-11-25 10:30,LONG,24819.50,24756.16,24752.89,24820.00,24808.00,-12.25,-25.74,SL,2025-11-25 15:30,2025-11-25 15:31,2025-11-25 15:31
28,2025-11-25 11:10,SHORT,24786.00,24799.31,24799.48,24786.75,24776.75,9.75,18.26,TP,2025-11-25 16:10,2025-11-25 16:11,2025-11-25 16:11
29,2025-11-25 11:18,LONG,24823.00,24801.23,24799.73,24823.00,24833.00,9.75,18.26,TP,2025-11-25 16:18,2025-11-25 16:19,2025-11-25 16:19
30,2025-11-26 10:33,LONG,25210.50,25193.66,25192.03,25210.75,25220.75,9.75,18.26,TP,2025-11-26 15:33,2025-11-26 15:34,2025-11-26 15:34
31,2025-11-27 10:12,LONG,25305.50,25298.26,25297.80,25305.75,25293.75,-12.25,-25.74,SL,2025-11-27 15:12,2025-11-27 15:13,2025-11-27 15:33
32,2025-11-27 10:49,LONG,25301.25,25299.43,25299.32,25301.50,25289.50,-12.25,-25.74,SL,2025-11-27 15:49,2025-11-27 15:50,2025-11-27 16:03
