#,Date,Entry_ET,Direction,Gap,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason
1,2025-03-28,09:53,LONG,-84.25,29.80,19860.75,19890.55,19816.04,19815.79,-44.96,-91.15,SL
2,2025-03-28,10:05,LONG,-84.25,25.71,19840.25,19865.96,19801.68,19801.43,-38.82,-78.88,SL
3,2025-03-28,10:11,LONG,-84.25,26.41,19750.25,19776.66,19710.63,19710.38,-39.87,-80.97,SL
4,2025-03-28,10:17,LONG,-84.25,25.36,19704.25,19729.61,19666.21,19665.96,-38.29,-77.81,SL
5,2025-03-28,10:31,LONG,-84.25,19.38,19653.00,19672.38,19623.94,19623.69,-29.31,-59.87,SL
6,2025-03-28,10:37,LONG,-84.25,21.27,19594.50,19615.77,19562.60,19615.52,21.02,40.80,TP
7,2025-03-28,10:43,LONG,-84.25,21.70,19643.75,19665.45,19611.21,19610.96,-32.79,-66.83,SL
8,2025-03-28,10:52,LONG,-84.25,19.39,19622.75,19642.14,19593.66,19593.41,-29.34,-59.92,SL
9,2025-03-28,11:01,LONG,-84.25,18.39,19592.75,19611.14,19565.16,19564.91,-27.84,-56.92,SL
10,2025-03-28,11:06,LONG,-84.25,19.14,19574.00,19593.14,19545.29,19592.89,18.89,36.55,TP
11,2025-03-28,11:16,LONG,-84.25,19.09,19593.75,19612.84,19565.12,19612.59,18.84,36.44,TP
12,2025-03-28,11:23,LONG,-84.25,19.04,19580.75,19599.79,19552.20,19599.54,18.79,36.33,TP
13,2025-03-31,09:46,LONG,-294.75,38.62,18984.25,19022.88,18926.31,19022.62,38.38,75.51,TP
14,2025-04-01,10:00,LONG,-69.75,29.82,19400.50,19430.32,19355.77,19355.52,-44.98,-91.20,SL
15,2025-04-01,10:07,LONG,-69.75,36.32,19358.75,19395.07,19304.27,19304.02,-54.73,-110.70,SL
16,2025-04-01,10:16,LONG,-69.75,31.86,19289.25,19321.11,19241.46,19320.86,31.61,61.97,TP
17,2025-04-01,10:28,LONG,-69.75,26.25,19321.75,19348.00,19282.38,19347.75,26.00,50.76,TP
18,2025-04-03,09:46,LONG,-822.75,42.48,18962.25,19004.73,18898.53,19004.48,42.23,83.22,TP
19,2025-04-03,09:58,LONG,-822.75,39.30,18971.50,19010.80,18912.54,19010.55,39.05,76.87,TP
20,2025-04-03,10:04,LONG,-822.75,41.70,18926.25,18967.95,18863.71,18863.46,-62.79,-126.83,SL
21,2025-04-03,10:29,LONG,-822.75,31.46,18910.00,18941.46,18862.80,18941.21,31.21,61.19,TP
22,2025-04-03,10:35,LONG,-822.75,32.36,18893.00,18925.36,18844.46,18844.21,-48.79,-98.81,SL
23,2025-04-03,10:47,LONG,-822.75,28.59,18820.50,18849.09,18777.62,18777.37,-43.13,-87.51,SL
24,2025-04-03,10:55,LONG,-822.75,26.68,18784.75,18811.43,18744.73,18744.48,-40.27,-81.78,SL
