#,Date,Entry_ET,Direction,OR_High,OR_Low,OR_Range,Entry_Price,Exit_Price,PnL_Pts,PnL_USD
1,2025-03-27,09:36,SHORT,20069.75,19976.75,93.00,19989.75,20012.50,-22.75,-46.74
2,2025-03-28,09:38,LONG,19918.50,19839.50,79.00,19893.50,19476.50,-417.00,-835.24
3,2025-03-31,09:45,SHORT,19192.25,19013.75,178.50,19004.25,19467.50,-463.25,-927.74
4,2025-04-01,09:36,SHORT,19433.00,19347.50,85.50,19340.75,19593.75,-253.00,-507.24
5,2025-04-02,09:36,LONG,19419.25,19317.00,102.25,19438.00,19781.50,343.50,685.76
6,2025-04-03,09:40,LONG,19056.75,18910.75,146.00,19059.25,18718.00,-341.25,-683.74
7,2025-04-04,09:37,SHORT,18248.75,18096.25,152.50,18080.00,17563.75,516.25,1031.26
8,2025-04-07,09:36,SHORT,16981.25,16851.25,130.00,16862.00,17554.75,-692.75,-1386.74
9,2025-04-08,09:37,SHORT,18202.00,18110.25,91.75,18106.00,17178.50,927.50,1853.76
10,2025-04-09,09:39,LONG,17363.75,17196.25,167.50,17375.00,19310.25,1935.25,3869.26
11,2025-04-10,09:38,SHORT,18871.75,18741.75,130.00,18751.00,18475.00,276.00,550.76
12,2025-04-11,09:40,LONG,18479.75,18353.50,126.25,18507.50,18833.00,325.50,649.76
13,2025-04-14,09:36,SHORT,19255.25,19172.00,83.25,19154.25,18941.25,213.00,424.76
14,2025-04-15,09:40,LONG,19042.75,18968.00,74.75,19059.50,18967.25,-92.25,-185.74
15,2025-04-16,09:38,LONG,18660.00,18572.50,87.50,18663.25,18375.50,-287.75,-576.74
16,2025-04-17,09:36,SHORT,18509.50,18410.25,99.25,18425.00,18365.75,59.25,117.26
17,2025-04-21,09:36,SHORT,18165.75,18124.00,41.75,18121.00,17910.00,211.00,420.76
18,2025-04-22,09:36,SHORT,18159.50,18106.50,53.00,18118.75,18354.75,-236.00,-473.24
19,2025-04-23,09:37,SHORT,19007.25,18937.25,70.00,18926.75,18840.25,86.50,171.76
20,2025-04-24,09:38,LONG,18894.25,18846.50,47.75,18893.75,19321.25,427.50,853.76
21,2025-04-25,09:36,LONG,19331.50,19256.25,75.25,19337.50,19527.25,189.75,378.26
22,2025-04-28,09:36,SHORT,19574.50,19489.00,85.50,19516.00,19555.00,-39.00,-79.24
23,2025-04-29,09:39,SHORT,19471.50,19411.00,60.50,19410.25,19642.75,-232.50,-466.24
24,2025-04-30,09:38,SHORT,19304.25,19232.00,72.25,19223.75,19694.75,-471.00,-943.24
25,2025-05-01,09:40,SHORT,19990.50,19913.00,77.50,19910.75,19918.00,-7.25,-15.74
26,2025-05-02,09:36,SHORT,20125.00,20073.25,51.75,20077.25,20180.50,-103.25,-207.74
27,2025-05-05,09:36,LONG,20035.25,19993.25,42.00,20044.00,20057.75,13.75,26.26
28,2025-05-06,09:36,LONG,19843.75,19779.25,64.50,19835.00,19913.25,78.25,155.26
29,2025-05-07,09:42,LONG,19920.75,19866.00,54.75,19915.00,19935.75,20.75,40.26
30,2025-05-08,09:36,SHORT,20174.50,20111.50,63.00,20126.50,20154.25,-27.75,-56.74
31,2025-05-09,09:36,LONG,20261.75,20226.75,35.00,20265.75,20138.25,-127.50,-256.24
32,2025-05-12,09:36,SHORT,20922.25,20802.00,120.25,20807.75,20919.00,-111.25,-223.74
33,2025-05-13,09:36,LONG,21039.50,20973.25,66.25,21061.75,21276.75,215.00,428.76
34,2025-05-14,09:36,LONG,21395.50,21314.00,81.50,21391.50,21396.25,4.75,8.26
35,2025-05-15,09:36,LONG,21339.25,21282.00,57.25,21319.50,21376.00,56.50,111.76
36,2025-05-16,09:37,SHORT,21470.25,21418.00,52.25,21417.50,21496.25,-78.75,-158.74
37,2025-05-19,09:37,LONG,21263.75,21201.50,62.25,21283.75,21507.50,223.75,446.26
38,2025-05-20,09:36,SHORT,21436.75,21407.00,29.75,21413.75,21431.25,-17.50,-36.24
39,2025-05-21,09:41,LONG,21345.00,21277.00,68.00,21330.50,21167.25,-163.25,-327.74
40,2025-05-22,09:36,SHORT,21219.50,21119.50,100.00,21175.50,21192.00,-16.50,-34.24
41,2025-05-23,09:36,LONG,20923.75,20821.50,102.25,20935.50,20965.25,29.75,58.26
42,2025-05-26,09:36,LONG,21303.50,21258.75,44.75,21304.00,21284.25,-19.75,-40.74
43,2025-05-27,09:36,SHORT,21284.50,21223.00,61.50,21215.75,21457.25,-241.50,-484.24
44,2025-05-28,09:36,LONG,21526.50,21490.25,36.25,21517.75,21373.00,-144.75,-290.74
45,2025-05-29,09:38,SHORT,21679.25,21577.25,102.00,21580.25,21397.00,183.25,365.26
46,2025-05-30,09:36,SHORT,21390.75,21328.00,62.75,21315.50,21413.50,-98.00,-197.24
47,2025-06-02,09:36,LONG,21414.00,21286.75,127.25,21414.25,21510.25,96.00,190.76
48,2025-06-03,09:39,SHORT,21595.75,21518.75,77.00,21524.00,21711.00,-187.00,-375.24
49,2025-06-04,09:36,LONG,21757.75,21716.75,41.00,21753.75,21761.25,7.50,13.76
50,2025-06-05,09:40,SHORT,21840.00,21759.50,80.50,21748.00,21600.50,147.50,293.76
51,2025-06-06,09:39,LONG,21820.25,21768.00,52.25,21824.00,21801.75,-22.25,-45.74
52,2025-06-09,09:36,SHORT,21815.00,21776.75,38.25,21765.75,21834.00,-68.25,-137.74
53,2025-06-10,09:40,LONG,21866.00,21818.00,48.00,21880.75,21954.50,73.75,146.26
54,2025-06-11,09:36,SHORT,22024.75,21962.00,62.75,21965.75,21883.00,82.75,164.26
55,2025-06-12,09:39,LONG,21873.50,21816.00,57.50,21868.00,21914.50,46.50,91.76
56,2025-06-13,09:40,LONG,21778.00,21663.50,114.50,21782.50,21617.25,-165.25,-331.74
57,2025-06-16,09:46,LONG,22098.75,22013.50,85.25,22101.75,22173.00,71.25,141.26
58,2025-06-17,09:43,SHORT,22110.00,22055.50,54.50,22051.50,21968.50,83.00,164.76
59,2025-06-18,09:49,LONG,21995.75,21926.50,69.25,21995.50,21949.25,-46.25,-93.74
60,2025-06-19,09:36,SHORT,21786.75,21754.00,32.75,21748.00,21704.50,43.50,85.76
61,2025-06-20,09:36,LONG,22100.00,22040.00,60.00,22099.50,21848.25,-251.25,-503.74
62,2025-06-23,09:44,LONG,21871.50,21758.50,113.00,21875.25,22073.25,198.00,394.76
63,2025-06-24,09:39,LONG,22315.00,22260.00,55.00,22298.00,22413.00,115.00,228.76
64,2025-06-25,09:36,LONG,22530.25,22490.25,40.00,22526.00,22447.50,-78.50,-158.24
65,2025-06-26,09:37,SHORT,22566.50,22517.00,49.50,22517.75,22672.25,-154.50,-310.24
66,2025-06-27,09:38,LONG,22728.50,22682.00,46.50,22733.75,22737.75,4.00,6.76
67,2025-06-30,09:36,SHORT,22875.50,22817.25,58.25,22820.25,22916.00,-95.75,-192.74
68,2025-07-01,09:44,SHORT,22821.25,22793.25,28.00,22788.25,22713.00,75.25,149.26
69,2025-07-02,09:37,LONG,22691.00,22650.75,40.25,22695.50,22845.75,150.25,299.26
70,2025-07-03,09:52,LONG,22986.00,22929.75,56.25,22992.50,23058.75,66.25,131.26
71,2025-07-04,09:36,SHORT,22924.00,22906.00,18.00,22900.25,22904.75,-4.50,-10.24
72,2025-07-07,09:53,LONG,22975.50,22900.25,75.25,22969.25,22882.00,-87.25,-175.74
73,2025-07-08,09:37,SHORT,22944.00,22897.25,46.75,22903.50,22897.75,5.75,10.26
74,2025-07-09,09:36,LONG,23029.25,22977.75,51.50,23027.25,23052.25,25.00,48.76
75,2025-07-10,09:46,SHORT,23089.75,23022.00,67.75,23021.50,23010.50,11.00,20.76
76,2025-07-11,09:38,SHORT,22958.25,22909.50,48.75,22894.50,22974.25,-79.75,-160.74
77,2025-07-14,09:36,SHORT,22979.00,22922.00,57.00,22939.25,23032.50,-93.25,-187.74
78,2025-07-15,09:36,SHORT,23222.75,23161.25,61.50,23166.75,23088.50,78.25,155.26
79,2025-07-16,09:36,SHORT,23090.00,23020.00,70.00,23034.75,23087.00,-52.25,-105.74
80,2025-07-17,09:43,LONG,23119.00,23065.75,53.25,23123.75,23255.75,132.00,262.76
