#,Signal_ET,Direction,Container_High,Container_Low,Entry_Price,Exit_Price,PnL_Points,PnL_USD,Exit_Reason,Signal_UTC,Fill_UTC,Exit_UTC
1,2025-11-10 10:24,LONG,25655.00,25642.25,25655.50,25663.50,7.75,556.14,TP,2025-11-10 15:24,2025-11-10 15:25,2025-11-10 15:25
2,2025-11-10 10:32,LONG,25653.25,25638.00,25656.50,25646.50,-10.25,-847.86,SL,2025-11-10 15:32,2025-11-10 15:33,2025-11-10 15:33
3,2025-11-10 10:44,SHORT,25632.00,25618.50,25616.75,25626.75,-10.25,-847.86,SL,2025-11-10 15:44,2025-11-10 15:45,2025-11-10 15:45
4,2025-11-11 10:03,SHORT,25628.50,25607.25,25606.00,25598.00,7.75,556.14,TP,2025-11-11 15:03,2025-11-11 15:04,2025-11-11 15:04
5,2025-11-11 10:55,SHORT,25506.00,25491.25,25489.75,25499.75,-10.25,-847.86,SL,2025-11-11 15:55,2025-11-11 15:56,2025-11-11 15:56
6,2025-11-12 10:08,LONG,25638.00,25598.50,25639.25,25647.25,7.75,556.14,TP,2025-11-12 15:08,2025-11-12 15:09,2025-11-12 15:09
7,2025-11-12 10:39,LONG,25568.50,25534.75,25585.50,25593.50,7.75,556.14,TP,2025-11-12 15:39,2025-11-12 15:40,2025-11-12 15:40
8,2025-11-12 10:55,LONG,25554.50,25537.50,25555.00,25563.00,7.75,556.14,TP,2025-11-12 15:55,2025-11-12 15:56,2025-11-12 15:56
9,2025-11-13 10:06,LONG,25360.25,25323.75,25377.75,25385.75,7.75,556.14,TP,2025-11-13 15:06,2025-11-13 15:07,2025-11-13 15:07
10,2025-11-13 10:14,LONG,25464.25,25426.50,25468.75,25476.75,7.75,556.14,TP,2025-11-13 15:14,2025-11-13 15:15,2025-11-13 15:15
11,2025-11-13 10:19,SHORT,25484.75,25446.00,25435.75,25427.75,7.75,556.14,TP,2025-11-13 15:19,2025-11-13 15:20,2025-11-13 15:20
12,2025-11-13 10:26,SHORT,25423.50,25395.75,25393.00,25385.00,7.75,556.14,TP,2025-11-13 15:26,2025-11-13 15:27,2025-11-13 15:27
13,2025-11-13 10:31,SHORT,25390.75,25374.25,25371.75,25363.75,7.75,556.14,TP,2025-11-13 15:31,2025-11-13 15:32,2025-11-13 15:32
14,2025-11-13 10:33,SHORT,25383.50,25357.50,25355.50,25347.50,7.75,556.14,TP,2025-11-13 15:33,2025-11-13 15:34,2025-11-13 15:34
15,2025-11-14 10:25,SHORT,24951.00,24908.75,24906.50,24916.50,-10.25,-847.86,SL,2025-11-14 15:25,2025-11-14 15:26,2025-11-14 15:26
16,2025-11-14 10:31,SHORT,25028.25,24997.50,24988.50,24998.50,-10.25,-847.86,SL,2025-11-14 15:31,2025-11-14 15:32,2025-11-14 15:32
17,2025-11-14 10:55,SHORT,25154.00,25122.00,25115.25,25107.25,7.75,556.14,TP,2025-11-14 15:55,2025-11-14 15:56,2025-11-14 15:56
18,2025-11-17 10:22,LONG,25100.00,25058.25,25105.00,25113.00,7.75,556.14,TP,2025-11-17 15:22,2025-11-17 15:23,2025-11-17 15:23
19,2025-11-18 10:34,SHORT,24592.25,24520.25,24519.75,24511.75,7.75,556.14,TP,2025-11-18 15:34,2025-11-18 15:35,2025-11-18 15:35
20,2025-11-19 10:15,LONG,24952.00,24930.50,24974.00,24982.00,7.75,556.14,TP,2025-11-19 15:15,2025-11-19 15:16,2025-11-19 15:16
21,2025-11-19 10:20,SHORT,24971.50,24946.75,24946.00,24956.00,-10.25,-847.86,SL,2025-11-19 15:20,2025-11-19 15:21,2025-11-19 15:21
22,2025-11-19 10:23,SHORT,24982.00,24943.75,24936.00,24946.00,-10.25,-847.86,SL,2025-11-19 15:23,2025-11-19 15:24,2025-11-19 15:24
23,2025-11-19 10:34,SHORT,24959.00,24934.00,24932.75,24924.75,7.75,556.14,TP,2025-11-19 15:34,2025-11-19 15:35,2025-11-19 15:35
24,2025-11-19 10:50,SHORT,24884.75,24862.75,24838.25,24830.25,7.75,556.14,TP,2025-11-19 15:50,2025-11-19 15:51,2025-11-19 15:51
25,2025-11-20 10:02,SHORT,25300.25,25274.50,25268.50,25260.50,7.75,556.14,TP,2025-11-20 15:02,2025-11-20 15:03,2025-11-20 15:03
26,2025-11-20 10:14,SHORT,25216.00,25188.25,25183.25,25175.25,7.75,556.14,TP,2025-11-20 15:14,2025-11-20 15:15,2025-11-20 15:15
27,2025-11-20 10:23,LONG,25230.25,25192.50,25244.75,25252.75,7.75,556.14,TP,2025-11-20 15:23,2025-11-20 15:24,2025-11-20 15:24
28,2025-11-20 10:35,LONG,25269.75,25239.00,25274.75,25282.75,7.75,556.14,TP,2025-11-20 15:35,2025-11-20 15:36,2025-11-20 15:36
